大黄、炒牵牛子、槟榔、人参、朱砂	消食导滞，祛痰通便
连翘、黄连、生地、竹叶、犀角、丹参、麦冬、银花、元参	清营解毒，透热养阴
犀角水牛角代、生地、牡丹皮、芍药	清热解毒，凉血散瘀
黄柏、栀子、黄连、黄芩	泻火解毒
石膏、知母、黄芩、竹叶、犀角、甘草、元参、桔梗、川连、连翘、生地、赤芍、丹皮、栀子	清热解毒，凉血泻火
黄芩、黄连、陈皮、生甘草、玄参、柴胡、桔梗、连翘、板蓝根、马勃、牛蒡子、薄荷、僵蚕、升麻	清热解毒，疏风散邪
竹叶、黄芩、山栀子、大黄、芒硝、连翘、甘草、薄荷	泻火通便，清上泄下
大黄、黄麻、滑石、薄荷、栀子、黄芩、白术、甘草、防风、芒硝、桔梗、川芎、白芍、**、当归、荆芥、石膏、连翘	疏风解表，清热通便
穿山甲、贝母、皂角刺、防风、没药、天花粉、金银花、白芷、赤芍药、陈皮、甘草、当归、乳香	清热解毒，消肿潰堅，活血止痛
木通、生地、生甘草、竹叶	清心利水养阴
龙胆草、车前子、木通、黄芩、山栀子、当归、生地、泽泻、柴胡、生甘草	清肝胆实火，泻下焦湿热
黄连、吴茱萸	清泻肝火，降逆止呕
甘草、桑白皮、地骨皮、粳米	清泻肺热，平喘止咳
苇茎、薏苡仁、冬瓜、桃仁	清肺化痰，逐瘀排脓
升麻、牡丹皮、当归、黄连、生地	清胃凉血
石膏、熟地、麦冬、知母、牛膝	清胃热，滋肾阴
芍药、当归、黄连、槟榔、木香、甘草、大黄、黄芩、木香、黄连、当归、槟榔、大黄、芍药、甘草、官肉桂	清热燥湿，调气和血
黄柏、白头翁、黄连、秦皮	清热解毒，凉血止痢
知母、鳖甲、青蒿、生地、丹皮	养阴透热
银柴胡、胡黄连、青蒿、秦艽、老草、知母、鳖甲、地骨皮	清虚热，退骨蒸
当归、黄芩、黄连、黄柏、黄芪、生地黄、熟地黄	滋阴泻火，固表止汗
人参、干姜、炙甘草、白术	温中散寒，补气健脾
生姜、饴糖、芍药、甘草、大枣、桂枝	温中补虚，和里缓急
生姜、饴糖、人参、蜀椒	温中补虚，降逆止痛
吴茱萸、生姜、大枣、人参	温中补虚，降逆止呕
生附子、干姜、炙甘草	回阳救逆
甘草、大枣、通草、桂枝、芍药、当归、细辛	温经散寒，养血通脉
生姜、桂枝、芍药、大枣、黄芪	益气温经，和血通痹
黄、熟地、姜炭、生甘草、肉桂、鹿角胶、白芥子	温阳补血，散寒通滞
人参、白术、茯苓、甘草	益气健脾
砂仁、茯苓、人参、薏苡仁、大枣、山药、桔梗、扁豆、白术、干草、莲子肉	益气健脾，渗湿止泻
升麻、人参、甘草、白术、柴胡、陈皮、当归、黄芪	补中益气，升阳举陷
黄芪、防风、白术	益气固表止汗
人参、麦冬、五味子	益气生津，敛阴止汗
白术、山药、人参、白芍、车前子、苍术、甘草、陈皮、黑芥穗、柴胡	补脾疏肝，化湿止带
熟地、当归、川芎、白芍	补血和血
黄芪、当归	补气生血
黄芪、龙眼肉、白术、茯神、酸枣仁、人参、木香、炙甘草、当归、远志	益气补血，健脾养心
人参、熟地黄、白术、白茯苓、当归、川芎、白芍药、炙甘草、生姜、大枣	益气补血
生地、炙甘草、生姜、人参、桂枝、阿胶、麦冬、麻仁、大枣	滋阴养血，益气温阳，复脉止悸
熟地、山萸肉、山药、泽泻、丹皮、茯苓	滋阴补肾
熟地、龟板、黄柏、知母、猪脊髓	滋阴降火
生地、北沙参、麦冬、当归、枸杞子、川楝子	滋阴疏肝
干地黄、山药、山茱萸、丹皮、泽泻、茯苓、桂枝、附子	补肾助阳
官桂、附子、肉苁蓉、远志、卖门冬、茯苓、石斛、熟地、生姜、菖蒲、大枣、巴戟天、山茱萸、薄荷、五味子	滋肾阴，补肾阳，开窍化痰
人参、枸杞、鹿角、龟板	滋阴填精，益气壮阳
黄芪、麻黄根、小麦、牡蛎	益气固表，敛阴止汗
乌梅、桑白皮、贝母、五味子、人参、罂粟壳、阿胶、桔梗、款冬花	敛肺止咳，益气养阴
人参、诃子、木香、肉桂、罂粟壳、白芍药、当归、白术、炙甘草、肉豆蔻	涩肠止泻，温中补虚
大枣、生姜、补骨脂、肉豆蔻、五味子、吴茱萸	温肾暖脾，固肠止泻
远志、龟甲、人参、菖蒲、龙骨、茯神、桑螵蛸、当归	调补心肾，涩精止遗
棕榈炭、黄芪、煅牡蛎、煅龙骨、五倍子、茜草、白杭芍、白术、山萸肉、海螵蛸	益气健脾，固冲摄血
朱砂、甘草、当归、黄连、生地	重镇安神，清心泻火
天门冬、茯苓、桔梗、人参、酸枣仁、当归、生地、丹参、元参、麦门冬、朱砂、五味子、柏子仁、远志	滋阴养血，补心安神
茯苓、知母、川芎、酸枣仁、甘草	养血安神，清热除烦
朱砂、白术、犀角、青木香、香附、白檀香、安息香、沉香、麝香、丁香、苏合香、熏陆香、筚茇、诃黎勒、龙脑	芳香开窍，行气温中
神曲、香附、栀子、川芎、苍术	行气解郁
桂枝、薤白、厚朴、枳实、瓜蒌	通阳散结，下气祛痰
半夏、厚朴、生姜、茯苓、苏叶	行气散结，降逆化痰
金铃子、玄胡	疏肝泄热，活血止痛
木香、厚朴、甘草、干姜、草豆蔻仁、茯苓、陈皮	行气温中，燥湿除满
巴豆、川楝子、小茴香、木香、乌药、青皮、槟榔、高良姜、	行气疏肝，散寒止痛
小茴香、枸杞、乌药、肉桂、茯苓、当归、沉香	温补肝肾，行气止痛
紫苏子、大枣、肉官桂、生姜、半夏、前胡、厚朴、川当归、炙甘草国老	降气平喘，祛痰止咳
桑白皮、苏子、甘草、白果、黄芩、杏仁、半夏、麻黄、款冬花	宣肺降气，清热化痰
生姜、半夏	和胃止呕，散饮降逆
旋覆花、代赭石、炙甘草、人参、半夏、大枣、生姜	降逆化痰，益气和胃
橘皮、竹茹、人参、大枣、生姜、甘草	降逆止呃，益气清热
丁香、柿蒂、人参、生姜	温中益气，降逆止呃
桃仁、大黄、桂枝、炙甘草、芒硝	破血下瘀
枳壳、桃仁、红花、川芎、柴胡、甘草、芍药、当归、牛膝、桔梗、生地	活血祛瘀，行气止痛
当归、地龙、川芎、桃仁、赤勺、红花、黄芪	补气活血通络
大黄、柴胡、天花粉、当归、红花、甘草、穿山甲、桃仁	活血祛瘀，疏肝通络
川芎、牡丹皮、桂枝、吴茱萸、人参、芍药、麦冬、生姜、半夏、甘草、当归、阿胶	温经散寒，祛瘀养血
干姜、甘草、桃仁、当归、川芎	化瘀生新，温经止痛
海粉、青黛、诃子、瓜篓仁、栀子	清肝宁肺，凉血止血
滑石、甘草、藕节、栀子、当归、竹叶、生地、蒲黄、木通、小蓟	凉血止血，利水通淋
槐花、侧柏叶、荆芥穗、枳壳	清肠凉血，疏风行气
灶心黄土、甘草、生地、白术、附子、阿胶、黄芩、	温阳健脾，养血止血
甘草、川芎、**、细辛、荆芥、白芷、羌活、防风、薄荷、清茶	疏风止痛
秦艽、黄芩、茯苓、羌活、白术、生地、熟地、独活、当归、川芎、芍药、防风、白芷、细辛、甘草、石膏	祛风清热，养血活血
白僵蚕、白附子、全蝎	祛风化痰止痉
南星、防风、白芷、附子、天麻、羌活、附子	祛风定搐
荆芥、防风、蝉蜕、牛蒡子、木通、苍术、苦参、石膏、知母、甘草、生地、当归、胡麻、	疏风养血，清热除湿
羚羊角、钩藤、桑叶、甘草、生地、竹茹、茯神、白芍、川贝、菊花	凉肝熄风，增液舒筋
天冬、麦芽、白芍、甘草、龙骨、牡蛎、川楝子、***、怀牛膝、龟板、生赭石、茵陈、元参	镇肝熄风，滋阴潜阳
天麻、钩藤、夜交藤、石决明、桑寄生、朱茯神、黄芩、牛膝、杜仲、栀子、益母草	平肝熄风，清热活血，补益肝肾
鳖甲、生牡蛎、五味子、干地黄、芍药、龟板、阿胶、麻仁、麦冬、炙甘草、鸡子黄	滋阴熄风
苏叶、杏仁、桔梗、生姜、大枣、陈皮、半夏、茯苓、甘草、枳壳、前胡	轻宣凉燥，理肺化痰
沙参、贝母、栀皮、香豉、桑叶、杏仁、梨皮	轻宣温燥
桑叶、杏仁、麦冬、甘草、石膏、枇杷叶、胡麻仁、阿胶、人参	清燥润肺
玄参、麦冬、细生地	增液润燥
麦门冬、半夏、人参、甘草、粳米、大枣	润肺益胃，降逆下气
玉竹、生地、麦冬、沙参、冰糖	养阴益胃
玄参、生地、麦冬、丹皮、白芍、薄荷、贝母、甘草	养阴清肺，解毒利咽
生地、熟地、麦冬、甘草、芍药、百合、元参、桔梗、当归、贝母	滋阴保肺，止咳化痰
苍术、厚朴、陈皮、甘草、生姜、大枣	燥湿运脾，行气和胃
藿香、大腹皮、白芷、紫苏、茯苓、半夏曲、白术、陈皮、厚朴、桔梗、炙甘草	解表化湿，理气和中
茵陈、栀子、大黄	清热利湿退黄
木通、滑石、瞿麦、扁蓄、车前子、栀子、炙甘草、大黄	清热泻火，利水通淋
杏仁、生薏苡仁、白寇仁、飞滑石、白通草、竹叶、厚朴、半夏	宣畅气机，清利湿热
飞滑石、绵茵陈、淡黄芩、石菖蒲、川贝母、木通、藿香、射干、连翘、薄荷、白豆蔻	利湿化浊，清热解毒
芦根、厚朴、黄连、石菖蒲、制半夏、豆豉、焦山栀	清热化湿，理气和中
泽泻、猪苓、茯苓、白术、桂枝	利水渗湿，温阳化气
泽泻、猪苓、茯苓、阿胶、滑石	利水清热养阴
防己、黄芪、甘草、白术、生姜、大枣	益气祛风，健脾利水
茯苓皮、生姜皮、桑白皮、陈橘皮、大腹皮	利水消肿，理气健脾
附子炮、茯苓、白芍、白术、生姜	温阳利水
附子、茯苓、大枣、白术、甘草、干姜、生姜、木瓜、草果、厚朴、木香、槟榔	温阳健脾，行气利水
川荜解、益智仁、石菖蒲、乌药	温暖下元，利湿化浊
藁本、川芎、防风、蔓荆子、羌活、独活、炙甘草	祛风胜湿止痛
秦艽、人参、细辛、独活、桑寄生、肉桂心、芍药、杜仲、川芎、防风、牛膝、当归、茯苓、甘草、干地黄	祛风湿止痹痛，益肝肾补气血
半夏、陈皮、茯苓、炙甘草、乌梅、生姜	燥湿化痰，理气和中
半夏、竹茹、枳实、陈皮、炙甘草、茯苓、生姜、大枣	理气化痰，清胆和胃
半夏、茯苓、生姜、枳壳、朴硝	燥湿行气，软坚化痰
陈皮、杏仁、半夏、黄芩、瓜蒌皮、枳实、胆南星、茯	清热化痰，理气止咳
瓜蒌实、黄连、半夏	清热化痰，宽胸散结
贝母、瓜蒌、天花粉、茯苓、橘红、桔梗	润肺清热，理气化痰
白芥子、苏子、莱菔子、	降气快膈，化痰消食
半夏、天麻、茯苓、橘红、白术、甘草、生姜、大枣	燥湿化痰，平肝熄风
丹参、麦冬、辰砂、石菖蒲、明天麻、陈皮、甘草、半夏、天南星、姜汁、茯苓、琥珀、茯神、贝母、竹沥、僵蚕、远志、全蝎	涤痰熄风
神曲、茯苓、半夏、山楂、连翘、陈皮、萝卜子	消食和胃
泽泻、茯苓、白术、枳实、黄芩、黄连、大黄、神曲	消食导滞，清热祛湿
枳壳、槟榔、青皮、陈皮、牵牛、香附、黄柏、黄连、木香、大黄、莪术	行气导懦行气导滞，功积泄热
茯苓、人参、甘草、白术、麦芽、山楂、神曲、陈皮、木香、黄连、山药、砂仁、豆蔻	健脾和胃，消食止泻
枳实、干生姜、炙甘草、麦芽曲、茯苓、白术、半夏曲、人参、厚朴、黄连	行气消痞，健脾和胃
乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏苦酒	温脏安蛔
瓜蒂、赤小豆、香豉	涌吐痰涎宿食
川芎、赤芍、红花、降香、丹参	活血化瘀，通络止痛
桃仁、红花、当归、生地黄、牛膝、川芎、桔梗、赤芍、枳壳、甘草、北柴胡	行气活血，通络止痛
瓜蒌、薤白、法半夏	通阳泄浊，豁痰开结
苏合香、冰片、乳香(制)、檀香、土木香	温经散寒，活血通痹
党参、白术、茯苓、甘草、当归、生地黄、赤芍、川芎、桃仁、红花、丹参	益气活血，补虚止痛
党参、麦冬、五味子、黄芪、麸炒白术、茯苓、甘草	益气养阴，活血通络
熟地黄、山药、枸杞子、炙甘草、茯苓、山萸肉	滋阴清热，养心安神
生晒参、黑顺片、肉桂、熟地黄、山萸肉、山药、枸杞子、杜仲	补益阳气，温振心阳
川芎、冰片	行气活血，祛瘀止痛
丹参、三七、冰片	活血化瘀，理气止痛
人工麝香、人参、人工牛黄、肉桂、苏合香、蟾酥、冰片	芳香温通，益气强心
黄芪、赤芍、丹参、当归、川芎、桃仁、红花、乳香、没药、鸡血藤、牛膝、桂枝、桑枝、地龙、全蝎、水蛭	益气活血，化瘀通络
人参、水蛭、全蝎、赤芍、蝉蜕、土鳖虫、蜈蚣、檀香、降香、乳香、酸枣仁、冰片	益气活血，通络止痛
黄芪、丹参、三七、降香	益气通脉，活血止痛
人参、麦冬、山茱萸、丹参、炒酸枣仁、桑寄生、赤芍、土鳖虫、甘松、黄连、南五味子、龙骨	益气养阴，活血通络，清心安神
党参、黄精、三七、琥珀、甘松	益气养阴，活血化瘀
细辛、人参、麦冬、五味子	益气养阴，活血健脑
大果木姜子、薤白、川芎、艾片	散寒祛湿，行气止痛
栝蒌实、薤白、半夏、茯苓、橘红、枳壳、川穹、红花、丹参	化痰开结，活血通络
黄芪、当归、赤芍、地龙、川芎、红花、桃仁	益气活血，通络止痛
熟地黄、山药、枸杞子、茯苓、山茱萸、炙甘草、桃仁、红花、生地、当归、赤芍、川芎、柴胡、枳壳、牛膝、桔梗、甘草	滋阴补肾，活血化瘀
熟地、山药、山茱萸、枸杞、甘草、杜仲、肉桂、附子、桃仁、红花、生地、当归、赤芍、川芎、柴胡、枳壳、牛膝、桔梗、甘草	温补肾阳，活血化瘀
丹参、葛根、三七、山楂、木香	活血化瘀，行气止痛
工麝香、牛黄、熊胆、蟾酥、珍珠、冰片、三七、人参、水牛角	活血化瘀，益气通脉，宁心安神
丁公藤	祛风除湿，消肿止痛
丁香	温中降逆，补肾助阳
三七	散瘀止血，消肿定痛
三棱	破血行气，消积止痛
三白草	利尿消肿，清热解毒
三颗针	清热燥湿，泻火解毒
丝瓜络	祛风，通络，活血，下乳
两头尖	祛风湿，消痈肿
两面针	活血化瘀，行气止痛，祛风通络，解毒消肿
丹参	活血祛瘀，通经止痛，清心除烦，凉血消痈
乌梅	敛肺，涩肠，生津，安蛔
乌梢蛇	祛风，通络，止痉
乌药	行气止痛，温肾散寒
九里香	行气止痛，活血散瘀
九香虫	理气止痛，温中助阳
乳香	活血定痛，消肿生肌
云芝	健脾利湿，清热解毒
五倍子	敛肺降火，涩肠止泻，敛汗，止血，收湿敛疮
五加皮	祛风除湿，补益肝肾，强筋壮骨，利水消肿
五味子	收敛固涩，益气生津，补肾宁心
亚乎奴（锡生藤）	消肿止痛，止血，生肌
亚麻子	润燥通便，养血祛风
京大戟	泻水逐饮，消肿散结
人参	大补元气，复脉固脱，补脾益肺，生津养血，安神益智
人参叶	补气，益肺，祛暑，生津
人工牛黄	清热解毒，化痰定惊
仙茅	补肾阳，强筋骨，祛寒湿
仙鹤草	收敛止血，截疟，止痢，解毒，补虚
伊贝母	清热润肺，化痰止咳
伸筋草	祛风除湿，舒筋活络
体外培育牛黄	清心，豁痰，开窍，凉肝，息风，解毒
何首乌	解毒，消痈，截疟，润肠通便
余甘子	清热凉血，消食健胃，生津止咳
佛手	疏肝理气，和胃止痛，燥湿化痰
佩兰	芳香化湿，醒脾开胃，发表解暑
使君子	杀虫消积
侧柏叶	凉血止血，化痰止咳，生发乌发
僵蚕	息风止痉，祛风止痛，化痰散结
儿茶	活血止痛，止血生肌，收湿敛疮，清肺化痰
党参	健脾益肺，养血生津
全蝎	息风镇痉，通络止痛，攻毒散结
八角茴香	温阳散寒，理气止痛
关黄柏	清热燥湿，泻火除蒸，解毒疗疮
冬凌草	清热解毒，活血止痛
冬瓜皮	利尿消肿
冬葵果	清热利尿，消肿
冬虫夏草	补肾益肺，止血化痰
冰片（合成龙脑）	开窍醒神，清热止痛
决明子	清热明目，润肠通便
凌霄花	活血通经，凉血祛风
刀豆	温中，下气，止呃
制何首乌	补肝肾，益精血，乌须发，强筋骨，化浊降脂
制天南星	燥湿化痰，祛风止痉，散结消肿
制川乌	祛风除湿，温经止痛
刺五加	益气健脾，补肾安神
前胡	降气化痰，散风清热
功劳木	清热燥湿，泻火解毒
化橘红	理气宽中，燥湿化痰
北刘寄奴	活血祛瘀，通经止痛，凉血，止血，清热利湿
北沙参	养阴清肺，益胃生津
北豆根	清热解毒，祛风止痛
千年健	祛风湿，壮筋骨
千里光	清热解毒，明目，利湿
千金子	泻下逐水，破血消癥；外用疗癣蚀疣
千金子霜	泻下逐水，破血消癥；外用疗癣蚀疣
升麻	发表透疹，清热解毒，升举阳气
半夏	燥湿化痰，降逆止呕，消痞散结
半枝莲	清热解毒，化瘀利尿
半边莲	清热解毒，利尿消肿
华山参	温肺祛痰，平喘止咳，安神镇惊
南五味子	收敛固涩，益气生津，补肾宁心
南板蓝根	清热解毒，凉血消斑
南沙参	养阴清肺，益胃生津，化痰，益气
南鹤虱	杀虫消积
卷柏	活血通经
厚朴	燥湿消痰，下气除满
厚朴花	芳香化湿，理气宽中
合欢皮	解郁安神，活血消肿
合欢花	解郁安神
吴茱萸	散寒止痛，降逆止呕，助阳止泻
哈蟆油	补肾益精，养阴润肺
商陆	逐水消肿，通利二便
四季青	清热解毒，消肿祛瘀
土木香	健脾和胃，行气止痛，安胎
土茯苓	解毒，除湿，通利关节
土荆皮	杀虫，疗癣，止痒
土贝母	解毒，散结，消肿
土鳖虫	破血逐瘀，续筋接骨
圣约翰草	清热解毒，解郁，消肿利尿，调经止血
地枫皮	祛风除湿，行气止痛
地榆	凉血止血，解毒敛疮
地肤子	清热利湿，祛风止痒
地锦草	清热解毒，凉血止血，利湿退黄
地骨皮	凉血除蒸，清肺降火
地黄	鲜地黄清热生津，凉血，止血
地龙	清热定惊，通络，平喘，利尿
垂盆草	利湿退黄，清热解毒
墨旱莲	滋补肝肾，凉血止血
夏天无	活血止痛，舒筋活络，祛风除湿
夏枯草	清肝泻火，明目，散结消肿
大叶紫珠	散瘀止血，消肿止痛
大枣	补中益气，养血安神
大皂角	祛痰开窍，散结消肿
大腹皮	行气宽中，行水消肿
大蒜	解毒消肿，杀虫，止痢
大蓟	凉血止血，散瘀解毒消痈
大蓟炭	凉血止血
大血藤	清热解毒，活血，祛风止痛
大豆黄卷	解表祛暑，清热利湿
大青叶	清热解毒，凉血消斑
大青盐	清热，凉血，明目
天仙子	解痉止痛，平喘，安神
天冬	养阴润燥，清肺生津
天南星	散结消肿
天然冰片（右旋龙脑）	开窍醒神，清热止痛
天竺黄	清热豁痰，凉心定惊
天花粉	清热泻火，生津止渴，消肿排脓
天葵子	清热解毒，消肿散结
天麻	息风止痉，平抑肝阳，祛风通络
太子参	益气健脾，生津润肺
女贞子	滋补肝肾，明目乌发
委陵菜	清热解毒，凉血止痢
姜半夏	温中化痰，降逆止呕
姜黄	破血行气，通经止痛
威灵仙	祛风湿，通经络
娑罗子	疏肝理气，和胃止痛
安息香	开窍醒神，行气活血，止痛
密蒙花	清热泻火，养肝明目，退翳
射干	清热解毒，消痰，利咽
小叶莲	调经活血
小茴香	散寒止痛，理气和胃
小蓟	凉血止血，散瘀解毒消痈
小通草	清热，利尿，下乳
小驳骨	祛瘀止痛，续筋接骨
山慈菇	清热解毒，化痰散结
山柰	行气温中，消食，止痛
山楂	消食健胃，行气散瘀，化浊降脂
山楂叶	活血化瘀，理气通脉，化浊降脂
山茱萸	补益肝肾，收涩固脱
山药	补脾养胃，生津益肺，补肾涩精
山豆根	清热解毒，消肿利咽
山银花	清热解毒，疏散风热
山香圆叶	清热解毒，利咽消肿，活血止痛
山麦冬	养阴生津，润肺清心
岩白菜	收敛止泻，止血止咳，舒筋活络
川乌	祛风除湿，温经止痛
川射干	清热解毒，祛痰，利咽
川木通	利尿通淋，清心除烦，通经下乳
川木香	行气止痛
川楝子	疏肝泄热，行气止痛，杀虫
川牛膝	逐瘀通经，通利关节，利尿通淋
川芎	活血行气，祛风止痛
川贝母	清热润肺，化痰止咳，散结消痈
巫山淫羊藿	补肾阳，强筋骨，祛风湿
巴戟天	补肾阳，强筋骨，祛风湿
巴豆	外用蚀疮
巴豆霜	峻下冷积，逐水退肿，豁痰利咽；外用蚀疮
布渣叶	消食化滞，清热利湿
常山	涌吐痰涎，截疟
干姜	温中散寒，回阳通脉，温肺化饮
干漆	破瘀通经，消积杀虫
平贝母	清热润肺，化痰止咳
广东紫珠	收敛止血，散瘀，清热解毒
广枣	行气活血，养心，安神
广藿香	芳香化浊，和中止呕，发表解暑
广金钱草	利湿退黄，利尿通淋
延胡索（元胡）	活血，行气，止痛
当归	补血活血，调经止痛，润肠通便
当药	清湿热，健胃
徐长卿	祛风，化湿，止痛，止痒
忍冬藤	清热解毒，疏风通络
急性子	破血，软坚，消积
拳参	清热解毒，消肿，止血
救必应	清热解毒，利湿止痛
斑蝥	破血逐瘀，散结消癥，攻毒蚀疮
断血流	收敛止血
旋覆花	降气，消痰，行水，止呕
昆布	消痰软坚散结，利水消肿
明党参	润肺化痰，养阴和胃，平肝，解毒
暴马子皮	清肺祛痰，止咳平喘
月季花	活血调经，疏肝解郁
木棉花	清热利湿，解毒
木瓜	舒筋活络，和胃化湿
木芙蓉叶	凉血，解毒，消肿，止痛
木蝴蝶	清肺利咽，疏肝和胃
木贼	疏散风热，明目退翳
木通	利尿通淋，清心除烦，通经下乳
木香	行气止痛，健脾消食
木鳖子	散结消肿，攻毒疗疮
朱砂	清心镇惊，安神，明目，解毒
朱砂根	解毒消肿，活血止痛，祛风除湿
杜仲	补肝肾，强筋骨，安胎
杜仲叶	补肝肾，强筋骨
杠板归	清热解毒，利水消肿，止咳
松花粉	收敛止血，燥湿敛疮
板蓝根	清热解毒，凉血利咽
枇杷叶	清肺止咳，降逆止呕
枫香脂	活血止痛，解毒生肌，凉血止血
枳壳	理气宽中，行滞消胀
枳实	破气消积，化痰散痞
枸杞子	滋补肝肾，益精明目
枸骨叶	清热养阴，益肾，平肝
柏子仁	养心安神，润肠通便，止汗
柴胡	疏散退热，疏肝解郁，升举阳气
柿蒂	降逆止呃
栀子	泻火除烦，清热利湿，凉血解毒；外用消肿止痛
核桃仁	补肾，温肺，润肠
桂枝	发汗解肌，温通经脉，助阳化气，平冲降气
桃仁	活血祛瘀，润肠通便，止咳平喘
桃枝	活血通络，解毒杀虫
桑叶	疏散风热，清肺润燥，清肝明目
桑寄生	祛风湿，补肝肾，强筋骨，安胎元
桑枝	祛风湿，利关节
桑椹	滋阴补血，生津润燥
桑白皮	泻肺平喘，利水消肿
桑螵蛸	固精缩尿，补肾助阳
桔梗	宣肺，利咽，祛痰，排脓
梅花	疏肝和中，化痰散结
棕榈	收敛止血
椿皮	清热燥湿，收涩止带，止泻，止血
楮实子	补肾清肝，明目，利尿
榧子	杀虫消积，润肺止咳，润燥通便
榼藤子	补气补血，健胃消食，除风止痛，强筋硬骨
槐花	凉血止血，清肝泻火
槐角	清热泻火，凉血止血
槟榔	杀虫，消积，行气，利水，截疟
槲寄生	祛风湿，补肝肾，强筋骨，安胎元
橘核	理气，散结，止痛
橘红	理气宽中，燥湿化痰
檀香	行气温中，开胃止痛
款冬花	润肺下气，止咳化痰
母丁香	温中降逆，补肾助阳
毛诃子	清热解毒，收敛养血，调和诸药
水牛角	清热凉血，解毒，定惊
水红花子	散血消癥，消积止痛，利水消肿
水蛭	破血通经，逐瘀消癥
水飞蓟	清热解毒，疏肝利胆
沉香	行气止痛，温中止呕，纳气平喘
沙棘	健脾消食，止咳祛痰，活血散瘀
沙苑子	补肾助阳，固精缩尿，养肝明目
没药	散瘀定痛，消肿生肌
油松节	祛风除湿，通络止痛
法半夏	燥湿化痰
泽兰	活血调经，祛瘀消痈，利水消肿
泽泻	利水渗湿，泄热，化浊降脂
洋金花	平喘止咳，解痉定痛
洪连	清热，解毒，利湿，平肝，行血，调经
浙贝母	清热化痰止咳，解毒散结消痈
浮萍	宣散风热，透疹，利尿
海藻	消痰软坚散结，利水消肿
海螵蛸	收敛止血，涩精止带，制酸止痛，收湿敛疮
海金沙	清利湿热，通淋止痛
海风藤	祛风湿，通经络，止痹痛
海马	温肾壮阳，散结消肿
海龙	温肾壮阳，散结消肿
淡竹叶	清热泻火，除烦止渴，利尿通淋
淡豆豉	解表，除烦，宣发郁热
淫羊藿	补肾阳，强筋骨，祛风湿
清半夏	燥湿化痰
湖北贝母	清热化痰，止咳，散结
滇鸡血藤	活血补血，调经止痛，舒筋通络
滑石	利尿通淋，清热解暑；外用祛湿敛疮
滑石粉	利尿通淋，清热解暑；外用祛湿敛疮
满山红	止咳祛痰
漏芦	清热解毒，消痈，下乳，舒筋通脉
火麻仁	润肠通便
灯心草	清心火，利小便
灯盏细辛（灯盏花）	活血通络止痛，祛风散寒
灵芝	补气安神，止咳平喘
炉甘石	解毒明目退翳，收湿止痒敛疮
炒瓜蒌子	润肺化痰，滑肠通便
炙甘草	补脾和胃，益气复脉
炙红芪	补中益气
炙黄芪	益气补中
炮姜	温经止血，温中止痛
焦栀子	凉血止血
焦槟榔	消食导滞
煅石膏	收湿，生肌，敛疮，止血
熟地黄	补血滋阴，益精填髓
片姜黄	破血行气，通经止痛
牛膝	逐瘀通经，补肝肾，强筋骨，利尿通淋，引血下行
牛蒡子	疏散风热，宣肺透疹，解毒利咽
牛黄	清心，豁痰，开窍，凉肝，息风，解毒
牡丹皮	清热凉血，活血化瘀
牡荆叶	祛痰，止咳，平喘
牡蛎	重镇安神，潜阳补阴，软坚散结
牵牛子	泻水通便，消痰涤饮，杀虫攻积
狗脊	祛风湿，补肝肾，强腰膝
独一味	活血止血，祛风止痛
独活	祛风除湿，通痹止痛
狼毒	散结，杀虫
猪牙皂	祛痰开窍，散结消肿
猪胆粉	清热润燥，止咳平喘，解毒
猪苓	利水渗湿
猫爪草	化痰散结，解毒消肿
玄参	清热凉血，滋阴降火，解毒散结
玄明粉	泻下通便，润燥软坚，清火消肿
玉竹	养阴润燥，生津止渴
王不留行	活血通经，下乳消肿，利尿通淋
玫瑰花	行气解郁，和血，止痛
珍珠	安神定惊，明目消翳，解毒生肌，润肤祛斑
珍珠母	平肝潜阳，安神定惊，明目退翳
珠子参	补肺养阴，祛瘀止痛，止血
瓜子金	祛痰止咳，活血消肿，解毒止痛
瓜蒌	清热涤痰，宽胸散结，润燥滑肠
瓜蒌子	润肺化痰，滑肠通便
瓜蒌皮	清热化痰，利气宽胸
瓦松	凉血止血，解毒，敛疮
瓦楞子	消痰化瘀，软坚散结，制酸止痛
甘松	理气止痛，开郁醒脾；外用祛湿消肿
甘草	补脾益气，清热解毒，祛痰止咳，缓急止痛，调和诸药
甘遂	泻水逐饮，消肿散结
甜瓜子	清肺，润肠，化瘀，排脓，疗伤止痛
生姜	解表散寒，温中止呕，化痰止咳，解鱼蟹毒
番泻叶	泻热行滞，通便，利水
白前	降气，消痰，止咳
白及	收敛止血，消肿生肌
白头翁	清热解毒，凉血止痢
白屈菜	解痉止痛，止咳平喘
白扁豆	健脾化湿，和中消暑
白术	健脾益气，燥湿利水，止汗，安胎
白果	敛肺定喘，止带缩尿
白矾	外用解毒杀虫，燥湿止痒；内服止血止泻，祛除风痰
白芍	养血调经，敛阴止汗，柔肝止痛，平抑肝阳
白芷	解表散寒，祛风止痛，宣通鼻窍，燥湿止带，消肿排脓
白茅根	凉血止血，清热利尿
白蔹	清热解毒，消痈散结，敛疮生肌
白薇	清热凉血，利尿通淋，解毒疗疮
白附子	祛风痰，定惊搐，解毒散结，止痛
白鲜皮	清热燥湿，祛风解毒
百合	养阴润肺，清心安神
